seurat_clusters	cell_type
0	Neu
1	HSPC
2	Transitional
3	Ery
4	Transitional
5	Transitional
6	Mono/Mac/DC
7	Others
8	Transitional
9	Transitional
10	Others
11	Transitional
12	Lympho
13	Mega
14	Others
15	Others
16	Others
17	Others
18	Others
19	Others
20	Others
21	Others
